year,month,cpi_yoy,note
2021,1,5.19,
2021,2,5.67,
2021,3,5.79,
2021,4,5.53,
2021,5,6.02,
2021,6,6.50,
2021,7,6.46,
2021,8,6.68,
2021,9,7.40,
2021,10,8.13,
2021,11,8.40,
2021,12,8.39,
2022,1,8.73,
2022,2,9.15,
2022,3,16.69,war_base
2022,4,17.83,
2022,5,17.10,
2022,6,15.90,
2022,7,15.10,
2022,8,14.30,
2022,9,13.68,
2022,10,12.63,
2022,11,11.98,
2022,12,11.94,
2023,1,11.77,
2023,2,10.99,
2023,3,3.51,low_base_effect
2023,4,2.31,
2023,5,2.51,
2023,6,3.25,
2023,7,4.30,
2023,8,5.15,
2023,9,5.99,
2023,10,6.69,
2023,11,7.48,
2023,12,7.42,
2024,1,7.44,
2024,2,7.69,
2024,3,7.72,
2024,4,7.84,
2024,5,8.30,
2024,6,8.59,
2024,7,9.13,
2024,8,9.05,
2024,9,8.63,
2024,10,8.54,
2024,11,8.88,
2024,12,9.52,
2025,1,9.92,
2025,2,10.06,
2025,3,10.34,
2025,4,10.23,
2025,5,9.87,mock_from_here
2025,6,9.50,
2025,7,9.10,
2025,8,8.70,
2025,9,8.35,
2025,10,8.00,
2025,11,7.75,
2025,12,7.50,
2026,1,7.25,
2026,2,7.00,
2026,3,6.80,
